25,47429.09,20-Dec-11,
26,47438.58,20-Dec-11,
27,47651.14,20-Dec-11,
28,47615.69,20-Dec-11,
29,47777.78,20-Dec-11,
30,47788.56,20-Dec-11,
31,48677.38,20-Dec-11,
32,49864.98,20-Dec-11,
33,51296.44,20-Dec-11,
34,52467.97,20-Dec-11,
35,53025.20,20-Dec-11,
36,52646.37,20-Dec-11,
37,52317.98,20-Dec-11,
38,51700.64,20-Dec-11,
39,50384.48,20-Dec-11,
40,48945.84,20-Dec-11,
41,47774.60,20-Dec-11,
42,46350.14,20-Dec-11,
43,44663.86,20-Dec-11,
44,42526.35,20-Dec-11,
45,40615.62,20-Dec-11,
46,38927.03,20-Dec-11,
47,37044.66,20-Dec-11,
48,35947.84,20-Dec-11,
1,35809.64,21-Dec-11,
2,35574.30,21-Dec-11,
3,35261.33,21-Dec-11,
4,34801.03,21-Dec-11,
5,34325.37,21-Dec-11,
6,34240.21,21-Dec-11,
7,33693.34,21-Dec-11,
8,32884.76,21-Dec-11,
9,32140.84,21-Dec-11,
10,31877.37,21-Dec-11,
11,31899.87,21-Dec-11,
12,32372.71,21-Dec-11,
13,34659.50,21-Dec-11,
14,37129.43,21-Dec-11,
15,41329.70,21-Dec-11,
16,43515.26,21-Dec-11,
17,44089.08,21-Dec-11,
18,45131.44,21-Dec-11,
19,46244.28,21-Dec-11,
20,46605.26,21-Dec-11,
21,46581.70,21-Dec-11,
22,46662.01,21-Dec-11,
23,46595.21,21-Dec-11,
24,46604.99,21-Dec-11,
